,rst_name,weekday,hours,platform
2,겐로쿠우동,04.02 (화),영업시간: 11:30 - 21:00,1
3,,,,
4,겐로쿠우동,04.03 (수),영업시간: 11:30 - 21:00,1
5,,,,
6,겐로쿠우동,04.04 (목),영업시간: 11:30 - 21:00,1
7,,,,
8,겐로쿠우동,04.05 (금),영업시간: 11:30 - 21:00,1
9,,,,
10,겐로쿠우동,04.06 (토),영업시간: 11:30 - 21:00,1
11,,,,
0,엘루이 피자 & 펍,[오늘] 03.31 (일),영업시간: 16:00 - 02:00,1
1,엘루이 피자 & 펍,04.01 (월),영업시간: 17:00 - 02:00,1
2,엘루이 피자 & 펍,04.02 (화),영업시간: 17:00 - 02:00,1
3,엘루이 피자 & 펍,04.03 (수),영업시간: 17:00 - 02:00,1
4,엘루이 피자 & 펍,04.04 (목),영업시간: 17:00 - 02:00,1
5,엘루이 피자 & 펍,04.05 (금),영업시간: 17:00 - 04:00,1
6,엘루이 피자 & 펍,04.06 (토),영업시간: 16:00 - 04:00,1
0,로니로티,[오늘] 03.31 (일),영업시간: 11:30 - 22:30,1
1,로니로티,04.01 (월),영업시간: 11:30 - 22:30,1
2,,,,
3,,,,
4,로니로티,04.02 (화),영업시간: 11:30 - 22:30,1
5,,,,
6,,,,
7,로니로티,04.03 (수),영업시간: 11:30 - 22:30,1
8,,,,
9,,,,
10,로니로티,04.04 (목),영업시간: 11:30 - 22:30,1
11,,,,
12,,,,
13,로니로티,04.05 (금),영업시간: 11:30 - 22:30,1
14,,,,
15,,,,
16,로니로티,04.06 (토),영업시간: 11:30 - 22:30,1
17,,,,
18,,,,
0,서울낙업,[오늘] 03.31 (일),영업시간: 13:00 - 01:00,1
1,서울낙업,04.01 (월),영업시간: 16:00 - 01:00,1
2,,,,
3,서울낙업,04.02 (화),휴무일,1
4,서울낙업,04.03 (수),영업시간: 16:00 - 01:00,1
5,,,,
6,서울낙업,04.04 (목),영업시간: 16:00 - 01:00,1
7,,,,
8,서울낙업,04.05 (금),영업시간: 16:00 - 01:00,1
9,,,,
10,서울낙업,04.06 (토),영업시간: 13:00 - 01:00,1
11,,,,
0,옥루몽 어린이대공원점,[오늘] 03.31 (일),영업시간: 11:00 - 23:00,1
1,옥루몽 어린이대공원점,04.01 (월),영업시간: 11:00 - 23:00,1
2,옥루몽 어린이대공원점,04.02 (화),영업시간: 11:00 - 23:00,1
3,옥루몽 어린이대공원점,04.03 (수),영업시간: 11:00 - 23:00,1
4,옥루몽 어린이대공원점,04.04 (목),영업시간: 11:00 - 23:00,1
5,옥루몽 어린이대공원점,04.05 (금),영업시간: 11:00 - 23:00,1
6,옥루몽 어린이대공원점,04.06 (토),영업시간: 11:00 - 23:00,1
0,아찌떡볶이,[오늘] 03.31 (일),영업시간: 12:00 - 19:00,1
1,아찌떡볶이,04.01 (월),영업시간: 12:00 - 19:00,1
2,아찌떡볶이,04.02 (화),영업시간: 12:00 - 19:00,1
3,아찌떡볶이,04.03 (수),휴무일,1
4,아찌떡볶이,04.04 (목),영업시간: 12:00 - 19:00,1
5,아찌떡볶이,04.05 (금),영업시간: 12:00 - 19:00,1
6,아찌떡볶이,04.06 (토),영업시간: 12:00 - 19:00,1
0,도쿄빙수,[오늘] 03.31 (일),영업시간: 12:00 - 22:00,1
1,도쿄빙수,04.01 (월),영업시간: 12:00 - 22:00,1
2,도쿄빙수,04.02 (화),영업시간: 12:00 - 22:00,1
3,도쿄빙수,04.03 (수),영업시간: 12:00 - 22:00,1
4,도쿄빙수,04.04 (목),영업시간: 12:00 - 22:00,1
5,도쿄빙수,04.05 (금),영업시간: 12:00 - 22:00,1
6,도쿄빙수,04.06 (토),영업시간: 12:00 - 22:00,1
0,정통집 건대점,[오늘] 03.31 (일),영업시간: 15:00 - 01:00,1
1,정통집 건대점,04.01 (월),영업시간: 15:00 - 01:00,1
2,정통집 건대점,04.02 (화),영업시간: 15:00 - 01:00,1
3,정통집 건대점,04.03 (수),영업시간: 15:00 - 01:00,1
4,정통집 건대점,04.04 (목),영업시간: 15:00 - 01:00,1
5,정통집 건대점,04.05 (금),영업시간: 15:00 - 01:00,1
6,정통집 건대점,04.06 (토),영업시간: 15:00 - 01:00,1
0,최원석의 돼지한판 & 서해쭈꾸미 건대점,[오늘] 03.31 (일),영업시간: 11:30 - 01:00,1
1,최원석의 돼지한판 & 서해쭈꾸미 건대점,04.01 (월),영업시간: 11:30 - 01:00,1
