,rst_name,weekday,hours,platform
3,그리네,04.04 (목),영업시간: 11:00 - 22:00,1
4,그리네,04.05 (금),영업시간: 11:00 - 22:00,1
5,그리네,04.06 (토),영업시간: 11:00 - 22:00,1
6,그리네,04.07 (일),영업시간: 11:00 - 22:00,1
0,벨롱에스프레소,[오늘] 04.01 (월),영업시간: 12:00 - 18:00,1
1,벨롱에스프레소,04.02 (화),영업시간: 12:00 - 18:00,1
2,,,,
3,벨롱에스프레소,04.03 (수),영업시간: 12:00 - 18:00,1
4,,,,
5,벨롱에스프레소,04.04 (목),영업시간: 12:00 - 18:00,1
6,,,,
0,벨롱에스프레소,04.05 (금),휴무일,1
1,벨롱에스프레소,04.06 (토),영업시간: 12:00 - 18:00,1
2,,,,
3,벨롱에스프레소,04.07 (일),영업시간: 12:00 - 18:00,1
4,,,,
5,해실해실,[오늘] 04.01 (월),휴무일,1
6,해실해실,04.02 (화),영업시간: 14:00 - 22:00,1
0,,,,
1,해실해실,04.03 (수),영업시간: 14:00 - 22:00,1
2,,,,
3,해실해실,04.04 (목),영업시간: 14:00 - 22:00,1
4,,,,
5,해실해실,04.05 (금),영업시간: 14:00 - 22:00,1
6,,,,
7,해실해실,04.06 (토),영업시간: 14:00 - 22:00,1
8,,,,
9,해실해실,04.07 (일),영업시간: 14:00 - 22:00,1
10,,,,
11,더착한커피 세종대점,[오늘] 04.01 (월),영업시간: 11:00 - 00:00,1
0,더착한커피 세종대점,04.02 (화),영업시간: 11:00 - 00:00,1
1,더착한커피 세종대점,04.03 (수),영업시간: 11:00 - 00:00,1
2,더착한커피 세종대점,04.04 (목),영업시간: 11:00 - 00:00,1
3,더착한커피 세종대점,04.05 (금),영업시간: 11:00 - 00:00,1
4,더착한커피 세종대점,04.06 (토),영업시간: 11:00 - 00:00,1
5,더착한커피 세종대점,04.07 (일),영업시간: 11:00 - 00:00,1
6,카페 26,[오늘] 04.01 (월),영업시간: 12:00 - 22:00,1
7,카페 26,04.02 (화),영업시간: 12:00 - 01:00,1
8,카페 26,04.03 (수),영업시간: 12:00 - 01:00,1
9,카페 26,04.04 (목),영업시간: 12:00 - 01:00,1
10,카페 26,04.05 (금),영업시간: 12:00 - 01:00,1
11,카페 26,04.06 (토),영업시간: 13:00 - 01:00,1
12,카페 26,04.07 (일),영업시간: 13:00 - 22:00,1
0,스타벅스 건국대점,[오늘] 04.01 (월),영업시간: 07:00 - 22:00,1
1,스타벅스 건국대점,04.02 (화),영업시간: 07:00 - 22:00,1
2,스타벅스 건국대점,04.03 (수),영업시간: 07:00 - 22:00,1
3,스타벅스 건국대점,04.04 (목),영업시간: 07:00 - 22:00,1
4,스타벅스 건국대점,04.05 (금),휴무일,1
5,스타벅스 건국대점,04.06 (토),영업시간: 08:00 - 22:00,1
6,스타벅스 건국대점,04.07 (일),영업시간: 08:00 - 22:00,1
0,북카페 세모,[오늘] 04.01 (월),영업시간: 12:00 - 00:00,1
1,북카페 세모,04.02 (화),영업시간: 12:00 - 00:00,1
2,북카페 세모,04.03 (수),영업시간: 12:00 - 00:00,1
3,북카페 세모,04.04 (목),영업시간: 12:00 - 00:00,1
4,북카페 세모,04.05 (금),영업시간: 12:00 - 00:00,1
5,북카페 세모,04.06 (토),영업시간: 11:00 - 00:00,1
6,북카페 세모,04.07 (일),영업시간: 11:00 - 00:00,1
0,옐로우페탈 커피,[오늘] 04.01 (월),영업시간: 08:00 - 21:00,1
1,옐로우페탈 커피,04.02 (화),영업시간: 08:00 - 21:00,1
2,옐로우페탈 커피,04.03 (수),영업시간: 08:00 - 21:00,1
3,옐로우페탈 커피,04.04 (목),영업시간: 08:00 - 21:00,1
4,옐로우페탈 커피,04.05 (금),영업시간: 08:00 - 21:00,1
5,옐로우페탈 커피,04.06 (토),영업시간: 12:00 - 22:00,1
6,옐로우페탈 커피,04.07 (일),휴무일,1
0,할리스 건대입구점,[오늘] 04.01 (월),영업시간: 08:00 - 02:00,1
1,할리스 건대입구점,04.02 (화),영업시간: 08:00 - 02:00,1
2,할리스 건대입구점,04.03 (수),영업시간: 08:00 - 02:00,1
3,할리스 건대입구점,04.04 (목),영업시간: 08:00 - 02:00,1
4,할리스 건대입구점,04.05 (금),영업시간: 08:00 - 02:00,1
5,할리스 건대입구점,04.06 (토),영업시간: 08:00 - 02:00,1
6,할리스 건대입구점,04.07 (일),영업시간: 08:00 - 02:00,1
0,슈드 Seoul,[오늘] 04.01 (월),영업시간: 11:00 - 01:00,1
