,rst_name,weekday,hours,platform
1,하이바 건대점,04.02 (화),영업시간: 17:00 - 05:00,1.0
2,,,,
3,하이바 건대점,04.03 (수),영업시간: 17:00 - 05:00,1.0
4,,,,
5,하이바 건대점,04.04 (목),영업시간: 17:00 - 05:00,1.0
6,,,,
7,하이바 건대점,04.05 (금),영업시간: 17:00 - 05:00,1.0
8,,,,
9,하이바 건대점,04.06 (토),영업시간: 17:00 - 05:00,1.0
10,,,,
11,하이바 건대점,04.07 (일),영업시간: 17:00 - 04:00,1.0
12,,,,
0,조선주막,[오늘] 04.01 (월),영업시간: 15:30 - 05:00,1
1,조선주막,04.02 (화),영업시간: 15:30 - 05:00,1
2,조선주막,04.03 (수),영업시간: 15:30 - 05:00,1
3,조선주막,04.04 (목),영업시간: 15:30 - 05:00,1
4,조선주막,04.05 (금),영업시간: 15:30 - 05:00,1
5,조선주막,04.06 (토),영업시간: 15:30 - 05:00,1
6,조선주막,04.07 (일),영업시간: 15:30 - 05:00,1
0,김창훈포차,[오늘] 04.01 (월),영업시간: 17:00 - 03:00,1
1,김창훈포차,04.02 (화),영업시간: 17:00 - 03:00,1
2,김창훈포차,04.03 (수),영업시간: 17:00 - 03:00,1
3,김창훈포차,04.04 (목),영업시간: 17:00 - 03:00,1
4,김창훈포차,04.05 (금),영업시간: 17:00 - 03:00,1
5,김창훈포차,04.06 (토),영업시간: 17:00 - 03:00,1
6,김창훈포차,04.07 (일),영업시간: 17:00 - 03:00,1
0,언리미티드,[오늘] 04.01 (월),영업시간: 18:00 - 02:00,1
1,언리미티드,04.02 (화),영업시간: 18:00 - 02:00,1
2,언리미티드,04.03 (수),영업시간: 18:00 - 02:00,1
3,언리미티드,04.04 (목),영업시간: 18:00 - 02:00,1
4,언리미티드,04.05 (금),영업시간: 18:00 - 03:00,1
5,언리미티드,04.06 (토),영업시간: 18:00 - 03:00,1
6,언리미티드,04.07 (일),영업시간: 18:00 - 03:00,1
0,이찌방이야기 본점,[오늘] 04.01 (월),영업시간: 17:30 - 07:30,1.0
1,이찌방이야기 본점,04.02 (화),영업시간: 17:30 - 07:30,1.0
2,,,,
3,이찌방이야기 본점,04.03 (수),영업시간: 17:30 - 07:30,1.0
4,,,,
5,이찌방이야기 본점,04.04 (목),영업시간: 17:30 - 07:30,1.0
6,,,,
7,이찌방이야기 본점,04.05 (금),영업시간: 17:30 - 07:30,1.0
8,,,,
9,이찌방이야기 본점,04.06 (토),영업시간: 17:30 - 07:30,1.0
10,,,,
11,이찌방이야기 본점,04.07 (일),영업시간: 17:30 - 07:30,1.0
12,,,,
0,사이사,[오늘] 04.01 (월),영업시간 확인 필요,1
1,사이사,04.02 (화),확인 필요,1
2,사이사,04.03 (수),확인 필요,1
3,사이사,04.04 (목),확인 필요,1
4,사이사,04.05 (금),확인 필요,1
5,사이사,04.06 (토),확인 필요,1
6,사이사,04.07 (일),확인 필요,1
0,잔실내포차 건대점,[오늘] 04.01 (월),영업시간 확인 필요,1
1,잔실내포차 건대점,04.02 (화),확인 필요,1
2,잔실내포차 건대점,04.03 (수),확인 필요,1
3,잔실내포차 건대점,04.04 (목),확인 필요,1
4,잔실내포차 건대점,04.05 (금),확인 필요,1
5,잔실내포차 건대점,04.06 (토),확인 필요,1
6,잔실내포차 건대점,04.07 (일),확인 필요,1
