,rst_name,menu_name,price,url
1673,케이쿠키,케이디저트의지존약과쿠키,"4,200","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1674,케이쿠키,치즈의근본 황치즈쿠키,"4,200","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1675,케이쿠키,말해모해로투스,"3,200","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1676,케이쿠키,풍미작살다크초코,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1677,케이쿠키,모여라 견과류,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1678,케이쿠키,폭신폭신초코스모어,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1679,케이쿠키,빨간맛 레드벨벳,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1680,케이쿠키,몸에좋은 오트밀,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1681,케이쿠키,제주말차 오레오,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1682,케이쿠키,나는좋아 민트초코,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
